Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,PricePerShare
LLY,Common Stock,Eli Lilly and Company,"Eli Lilly and Company is an American pharmaceutical company headquartered in Indianapolis, Indiana, with offices in 18 countries. Its products are sold in approximately 125 countries.",59478,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"LILLY CORPORATE CTR, DROP CODE 1094, INDIANAPOLIS, IN, US",https://www.lilly.com,December,2024-09-30,704317293000,16566500000,84.76,0.736,15.82,5.03,0.0077,9.24,45.37,0.205,0.398,0.14,0.653,40863302000,21911600000,9.24,0.682,0.204,984.05,6,16,5,0,1,84.76,34.48,17.24,49.46,17.91,58.49,0.43,970.92,575.3,811.29,839.24,899316000,2025-03-10,2025-02-14,783.17
WMT,Common Stock,Walmart Inc,"Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas. It also owns and operates Sam's Club retail warehouses.",104169,NYSE,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"702 SOUTHWEST 8TH ST, BENTONVILLE, AR, US",https://corporate.walmart.com,January,2024-10-31,736340541000,40779002000,37.88,2.756,10.41,0,0.0099,2.42,82.5,0.0234,0.0469,0.0695,0.185,665035014000,147568000000,2.42,-0.423,0.048,98.48,13,25,3,1,0,37.88,33.22,1.107,8.36,1.169,18.64,0.516,95.97,51.25,88.15,73.55,8033390000,2025-01-06,2024-12-12,91.66
JPM,Common Stock,JPMorgan Chase & Co,"JPMorgan Chase & Co. is an American multinational investment bank and financial services holding company headquartered in New York City. JPMorgan Chase is incorporated in Delaware. As a Bulge Bracket bank, it is a major provider of various investment banking and financial services. It is one of America's Big Four banks, along with Bank of America, Citigroup, and Wells Fargo. JPMorgan Chase is considered to be a universal bank and a custodian bank. The J.P. Morgan brand is used by the investment banking, asset management, private banking, private wealth management, and treasury services divisions.",19617,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"383 MADISON AVENUE, NEW YORK, NY, US",https://www.jpmorganchase.com,December,2024-09-30,678975570000,None,13.41,4.743,115.15,4.6,0.0207,17.99,56.04,0.332,0.438,0.0133,0.162,162148008000,122306000000,17.99,0.009,0.03,246.56,7,6,7,2,0,13.41,14.22,4.187,2.094,5.25,-,1.091,254.31,161.46,237.18,211.86,2815340000,2025-01-31,2025-01-06,241.17
V,Common Stock,Visa Inc. Class A,"Visa Inc. is an American multinational financial services corporation headquartered in Foster City, California, United States. It facilitates electronic funds transfers throughout the world, most commonly through Visa-branded credit cards, debit cards and prepaid cards. Visa is one of the world's most valuable companies.",1403161,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","P.O. BOX 8999, SAN FRANCISCO, CA, US",https://www.visa.com,September,2024-09-30,617075573000,24973001000,32.78,2.114,20.08,2.15,0.0074,9.72,19.59,0.55,0.661,0.162,0.507,35926000000,31917000000,9.72,0.169,0.117,331.92,11,18,9,0,0,32.78,28.41,17.18,16.19,17.36,24.37,0.952,321.62,251.71,305.51,281.54,1729400000,2024-12-02,2024-11-12,356.81
UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",https://www.unitedhealthgroup.com,December,2024-09-30,469335638000,35035001000,33.12,1.41,102.42,7.96,0.0165,15.4,427.22,0.0364,0.0864,0.0692,0.152,393898000000,79617000000,15.4,0.043,0.092,636.05,5,19,4,0,0,33.12,17.12,1.192,4.965,1.311,18.28,0.591,628.32,431.35,566.11,539.15,920284000,2024-12-17,2024-12-09,509.99
XOM,Common Stock,Exxon Mobil Corp,"Exxon Mobil Corporation, stylized as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York). ExxonMobil's primary brands are Exxon, Mobil, Esso, and ExxonMobil Chemical. ExxonMobil is incorporated in New Jersey.",34088,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"5959 LAS COLINAS BLVD, IRVING, TX, US",https://corporate.exxonmobil.com,December,2024-09-30,467989201000,71538000000,13.26,5.43,61.11,3.8,0.0372,8.03,81.88,0.098,0.133,0.0708,0.145,343818011000,133715000000,8.03,-0.147,-0.015,130.14,7,8,12,0,1,13.26,12.0,1.361,1.742,1.423,6.43,0.88,125.31,92.61,116.06,116.24,4395090000,2024-12-10,2024-11-14,106.48
ORCL,Common Stock,Oracle Corporation,"Oracle is an American multinational computer technology corporation headquartered in Austin, Texas. The company was formerly headquartered in Redwood Shores, California until December 2020 when it moved its headquarters to Texas. The company sells database software and technology, cloud engineered systems, and enterprise software products, particularly its own brands of database management systems.",1341439,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"500 ORACLE PARKWAY, MAIL STOP 5 OP 7, REDWOOD CITY, CA, US",https://www.oracle.com,May,2024-11-30,472574394000,21803000000,41.31,1.822,3.159,0,0.0083,4.09,19.55,0.204,0.305,0.0729,1.556,53815001000,36390000000,4.09,0.198,0.069,196.55,5,16,13,0,0,41.31,27.55,8.78,34.38,10.01,24.22,1.013,198.31,100.51,179.28,147.63,2796960000,2025-01-23,2024-10-10,168.96
MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",https://www.mastercard.com,December,2024-09-30,488469660000,16784000000,40.17,2.043,8.09,2.64,0.0057,13.25,29.28,0.453,0.593,0.229,1.776,27225999000,22237000000,13.25,0.041,0.128,564.64,10,21,8,0,0,40.17,32.79,17.94,65.65,18.2,30.65,1.101,537.7,414.59,521.59,479.16,910768000,2025-02-07,2025-01-09,536.33
NVO,Common Stock,Novo Nordisk A/S,"Novo Nordisk A / S, a healthcare company, is dedicated to the research, development, manufacture and marketing of pharmaceutical products globally. The company is headquartered in Bagsvaerd, Denmark.",353278,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"NOVO ALLE DK 2880, BAGSVAERD DENMARK, DK",https://www.novonordisk.com,December,2024-09-30,386417426000,127400698000,29.62,1.314,27.07,9.9,0.0166,2.95,60.7,0.35,0.474,0.215,0.887,270583005000,148506000000,2.95,0.224,0.214,122.18,2,5,2,1,1,29.62,22.47,1.428,23.11,10.37,20.59,0.165,147.59,81.5,106.79,125.34,3366470000,2024-08-26,2024-08-16,114.78
COST,Common Stock,Costco Wholesale Corp,"Costco Wholesale Corporation (doing business as Costco Wholesale and also known simply as Costco) is an American multinational corporation which operates a chain of membership-only (needing a membership to shop there) big-box retail stores. As of 2020, Costco was the fifth largest retailer in the world, and the world's largest retailer of choice and prime beef, organic foods, rotisserie chicken, and wine as of 2016.",909832,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"999 LAKE DRIVE, ISSAQUAH, WA, US",https://www.costco.com,August,2024-11-30,417131889000,11522000000,55.24,5.64,53.31,0,0.0047,17.01,573.2,0.029,0.0382,0.0836,0.303,254453006000,30095000000,17.01,0.088,0.01,1024.24,7,17,13,1,0,55.24,51.81,1.639,17.06,1.597,33.36,0.789,1008.25,636.79,938.07,851.59,443899000,2024-11-15,2024-11-01,939.70
HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2024-10-31,390252593000,24758000000,26.67,5.07,5.84,2.25,0.0229,14.73,156.16,0.0945,0.135,0.153,0.405,154596000000,52778000000,14.73,-0.037,0.066,431.41,5,21,12,2,0,26.67,24.81,2.524,67.45,2.924,18.1,1.011,437.07,317.92,408.36,372.02,993363000,2024-12-12,2024-11-27,392.86
PG,Common Stock,Procter & Gamble Company,"The Procter & Gamble Company (P&G) is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble. It specializes in a wide range of personal health, consumer health, personal care, and hygiene products; these products are organized into several segments including Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine, & Family Care. Before the sale of Pringles to Kellogg's, its product portfolio also included food, snacks, and beverages.",80424,NYSE,USD,USA,LIFE SCIENCES,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS","ONE PROCTER & GAMBLE PLAZA, CINCINNATI, OH, US",https://www.pginvestor.com,June,2024-09-30,399249932000,24039999000,29.23,3.585,21.68,3.894,0.0237,5.8,35.57,0.171,0.278,0.106,0.288,83905004000,39246000000,5.8,-0.121,-0.006,181.0,4,13,10,0,1,29.23,24.39,4.758,7.82,5.05,19.31,0.414,180.43,142.76,170.36,167.53,2355040000,2024-11-15,2024-10-18,169.53
NFLX,Common Stock,Netflix Inc,"Netflix, Inc. is an American over-the-top content platform and production company headquartered in Los Gatos, California. Netflix was founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California. The company's primary business is a subscription-based streaming service offering online streaming from a library of films and television series, including those produced in-house.",1065280,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-VIDEO TAPE RENTAL,"100 WINCHESTER CIRCLE, ., LOS GATOS, CA, US",https://www.netflix.com,December,2024-09-30,387939500000,9976899000,51.27,1.849,53.15,None,None,17.7,87.11,0.207,0.296,0.118,0.347,37587280000,12447265000,17.7,0.448,0.15,837.88,8,20,15,1,2,51.27,37.88,10.32,17.07,10.5,15.81,1.25,941.75,461.86,846.32,699.24,427458000,None,None,907.55
JNJ,Common Stock,Johnson & Johnson,"Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 36 on the 2021 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies, and is one of only two U.S.-based companies that has a prime credit rating of AAA, higher than that of the United States government.",200406,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"ONE JOHNSON & JOHNSON PLZ, NEW BRUNSWICK, NJ, US",https://www.jnj.com,December,2024-09-30,349225288000,30052000000,23.98,0.87,29.14,4.86,0.0342,6.05,36.43,0.167,0.245,0.084,0.209,87695999000,63954000000,6.05,-0.891,0.052,174.28,3,8,13,0,0,23.98,13.64,3.982,4.978,4.159,14.2,0.518,167.51,139.79,153.88,154.6,2407620000,2024-12-10,2024-11-26,145.05
BAC,Common Stock,Bank of America Corp,"The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered in Charlotte, North Carolina. Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States, after JPMorgan Chase, and the eighth largest bank in the world. Bank of America is one of the Big Four banking institutions of the United States. It services approximately 10 percent of all American bank deposits, in direct competition with JPMorgan Chase, Citigroup and Wells Fargo. Its primary financial services revolve around commercial banking, wealth management, and investment banking.",70858,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, US",https://www.bankofamerica.com,December,2024-09-30,340215497000,None,16.07,1.965,35.37,0.98,0.0235,2.76,11.95,0.249,0.308,0.0073,0.0809,94625997000,92407000000,2.76,-0.1,-0.005,49.13,8,8,5,0,1,16.07,11.99,3.595,1.251,7.11,-,1.325,47.81,30.49,44.83,40.56,7672880000,2024-12-27,2024-12-06,44.34
ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2024-09-30,314568573000,25629999000,62.02,0.425,3.413,6.2,0.0369,2.87,31.4,0.0922,0.289,0.0772,0.564,55532999000,41527000000,2.87,-0.123,0.038,202.54,8,13,8,0,0,62.02,15.02,5.66,52.15,6.81,20.76,0.613,207.32,149.3,181.63,178.81,1767140000,2025-02-14,2025-01-15,178.01
CRM,Common Stock,Salesforce.com Inc,"Salesforce.com, Inc. is an American cloud-based software company headquartered in San Francisco, California. It provides customer relationship management (CRM) service and also provides a complementary suite of enterprise applications focused on customer service, marketing automation, analytics, and application development.",1108524,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"THE LANDMARK, ONE MARKET STREET STE.300, SAN FRANCISCO, CA, US",https://www.salesforce.com,January,2024-10-31,323896672000,9345000000,55.85,1.523,61.43,0,0.0048,6.06,37.63,0.154,0.202,0.0471,0.0973,36465000000,22992000000,6.06,0.148,0.084,395.76,15,25,11,0,1,55.85,30.3,8.88,5.53,8.67,29.6,1.288,368.58,211.1,326.45,281.71,957000000,2025-01-09,2024-09-18,338.45
SMFG,Common Stock,Sumitomo Mitsui Financial Group Inc,"Sumitomo Mitsui Financial Group, Inc. provides commercial banking, finance leasing, securities, consumer finance, and other services primarily in Japan. The company is headquartered in Tokyo, Japan.",1022837,NYSE,USD,USA,FINANCE,"COMMERCIAL BANKS, NEC","1-2, MARUNOUCHI 1-CHOME, CHIYODA-KU, TOKYO, JP",https://www.smfg.co.jp,March,2024-09-30,93924000000,None,12.77,1.099,3724.09,0,0.0245,1.13,567.48,0.269,0.405,0.0035,0.0714,3754061988000,3988548000000,1.13,0.525,0.183,16.46,0,1,0,0,0,12.77,10.99,0.025,1.001,6.0,-,0.561,15.56,9.24,13.94,12.94,6508940000,2024-12-10,2024-03-27,14.43
CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",https://www.chevron.com,December,2024-09-30,256740475000,38942999000,15.82,3.061,86.92,6.4,0.0453,9.1,104.59,0.087,0.109,0.0537,0.103,191688999000,98886000000,9.1,-0.287,-0.064,175.71,10,8,7,0,0,15.82,11.96,1.339,1.644,1.432,6.68,1.078,164.68,133.85,154.12,153.97,1782920000,2024-12-10,2024-11-18,144.00
TMUS,Common Stock,T-Mobile US Inc,"T-Mobile US, Inc., doing business under the global brand name T-Mobile, is an American wireless network operator. Its headquarters are located in Bellevue, Washington, in the Seattle metropolitan area and Overland Park, Kansas, in the Kansas City metropolitan area.",1283699,NASDAQ,USD,USA,TECHNOLOGY,RADIOTELEPHONE COMMUNICATIONS,"12920 SE 38TH STREET, BELLEVUE, WA, US",https://www.t-mobile.com,December,2024-09-30,258812477000,30663999000,25.46,0.893,55.17,2.83,0.0158,8.76,68.39,0.13,0.238,0.0524,0.161,80005997000,47559000000,8.76,0.434,0.047,245.07,8,15,3,1,1,25.46,20.28,3.235,4.028,4.565,12.16,0.496,248.15,156.91,231.49,193.54,1160490000,2025-03-13,2025-02-28,223.02
SAP,Common Stock,SAP SE ADR,"SAP SE is a global enterprise application software company. The company is headquartered in Walldorf, Germany.",1000184,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"DIETMAR-HOPP-ALLEE 16, WALLDORF, DE",https://www.sap.com,December,2024-09-30,291799958000,8573000000,104.23,2.672,35.34,2.2,0.0095,2.4,28.52,0.0825,0.266,0.0713,0.0646,33266000000,22166000000,2.4,0.148,0.094,267.39,6,5,3,1,0,104.23,37.88,8.77,6.81,8.36,44.74,0.874,256.13,146.54,240.47,211.77,1166500000,2024-05-28,2024-05-16,250.15
